sample,tissue,umap1,umap2,kmeans,physiotype,plate,case_id
00d461ae-a1d8-42f2-abd8-5e159363d857.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.4658175,8.483319,2,1,A277,TCGA-44-2666
00fabec9-d311-4994-a7e5-eb91178d14f2.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.8582242,7.1702194,1,2,A262,TCGA-69-A59K
01ebdef8-920f-4b71-8b44-512598962d6b.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.1730168,4.197114,1,1,2241,TCGA-99-8032
020a2284-03f3-4439-89bb-2292ebc3ecd2.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.983031,8.218168,1,2,2241,TCGA-95-7562
02f6c9d4-8296-4e00-9e78-4f4d8c942340.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.8948288,7.131391,1,3,1949,TCGA-91-6848
0326e97a-2ec7-4038-98f3-03d94962d869.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.1266847,9.7013,0,2,2039,TCGA-97-7546
03c7ece7-500d-4c38-a600-bd6863562bfd.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.5480742,9.93333,0,3,A41B,TCGA-49-AARQ
044b4834-bb51-40c8-8027-e5d752fa8787.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.238949,9.687723,0,1,2403,TCGA-55-8616
04c4affd-ca5d-4ea4-95d1-a6502e80d1af.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.4593506,10.199977,0,1,2066,TCGA-64-1681
04ce9fac-b5f3-4830-935e-9d6ea74ee915.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.9208007,9.809855,0,1,A262,TCGA-MP-A4T6
050f4ef1-e774-490e-9450-8f2d473b1a21.rna_seq.augmented_star_gene_counts.tsv,Normal,6.4880757,12.651866,0,2,1755,TCGA-73-4676
059b5dc1-45f7-4d7c-b07a-878b6db6d881.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.7212076,3.8260262,1,3,2039,TCGA-78-7156
05ca3ffd-a4d9-4667-80e2-d15125e88f7c.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.9156857,10.938936,0,2,A24X,TCGA-97-A4M1
06770623-6a10-4874-9eea-1497077f18ac.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.7949626,6.5633297,1,1,A24H,TCGA-55-A4DF
068ba2ae-288c-446d-8d17-72445ce4f788.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.7353339,7.75276,1,1,A24X,TCGA-93-A4JN
06c83065-5800-451a-84a7-7a7f352493ec.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.7625318,3.8412497,1,3,2066,TCGA-78-7633
06deab65-ccea-473f-ad0e-7e3928df2e07.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.1187434,9.587468,0,2,1206,TCGA-05-4426
06f0836c-ae3f-4c83-bb20-a5a74796bb11.rna_seq.augmented_star_gene_counts.tsv,Normal,6.833098,12.310809,0,2,1755,TCGA-50-5932
07a66ae7-6b95-4d57-b308-dcb30672b6b9.rna_seq.augmented_star_gene_counts.tsv,Normal,6.4525685,12.026664,0,3,1949,TCGA-55-6971
07c5dadf-e801-4c1f-9109-7a2495407c75.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.303804,5.049565,1,1,A24X,TCGA-97-A4M5
07c8891d-1917-45f8-bd1d-4c59d1baafaa.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.7582765,5.3849216,1,1,1949,TCGA-91-6830
0832f2ee-ad00-42c7-8cc3-9c63a7b5cea9.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.6161253,9.685295,0,2,2066,TCGA-78-7163
085fd4df-27f7-4680-a0b5-8726f9eab370.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.714911,10.039823,0,2,1858,TCGA-49-4512
087c2c93-d071-41e1-a2e8-a1961ba54a86.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.1013393,8.958831,0,1,2241,TCGA-86-8073
094bd5ef-b1ca-46c6-b717-2519e5a6151b.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.6838074,9.783256,0,3,1858,TCGA-71-6725
09728f38-787f-4868-b28d-8cf6afa3c71b.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.400674,5.7159877,1,1,1628,TCGA-05-5425
0a11e8dc-5d34-4fcb-b2dc-aa57b4e90fc9.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.3354053,8.729397,0,3,2039,TCGA-78-7146
0a4e0b83-7afa-475b-8586-e9e79e31d6d2.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.2182198,5.8411927,1,2,A24H,TCGA-62-A471
0a5dab01-33ff-41d1-8842-7b7f18a6efe0.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.2836719,4.0842023,1,1,1858,TCGA-91-6828
0b55cf48-41ca-4d54-a6c6-fa15c711370b.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.621723,8.409203,2,2,A277,TCGA-44-3917
0ba8665b-be52-4288-838a-8f5d189f809d.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.9922006,7.115569,1,2,A41B,TCGA-49-AAR3
0bb88c14-58c0-45d8-a8f3-f41840f62d37.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.2492762,7.7360687,1,2,1858,TCGA-44-6777
0c09f267-c052-4208-83f3-9acbad0867d5.rna_seq.augmented_star_gene_counts.tsv,Normal,6.458929,11.842248,0,3,1858,TCGA-91-6831
0c73a12d-b6a0-4ee0-9364-6744964e3526.rna_seq.augmented_star_gene_counts.tsv,Normal,7.0470753,12.744587,0,2,1949,TCGA-55-6979
0e3e11b9-9f43-4a0d-8665-023fae9f8b00.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.7533326,8.64759,1,1,1755,TCGA-38-6178
0f6c0159-7342-4519-83f5-52c2d457c4f8.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.7612286,10.100566,0,2,2039,TCGA-78-7147
1084d48c-88e8-4d67-9049-d0e4cd7f9535.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.033531,9.904206,0,3,A24H,TCGA-62-A46V
11d52676-7017-48b4-872a-cefb91b8651c.rna_seq.augmented_star_gene_counts.tsv,Normal,6.32316,12.235436,0,3,1758,TCGA-44-2655
1205cc6a-c42f-44c8-bf1c-84ef49eaaee4.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.7090462,8.219993,1,2,2326,TCGA-50-8457
129a4f1c-81ee-4ebb-8c97-0a60fcc114d6.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.9428053,10.063946,0,1,2039,TCGA-99-7458
12beb3ab-f6e1-42b0-af74-1a8cbb3416c0.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.0424592,8.714684,1,1,A24H,TCGA-J2-A4AG
12da2172-3304-4dad-bd80-3039e6d49de3.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.9574296,8.972843,1,1,2241,TCGA-J2-8192
131b98d5-aaf4-4a6c-bb96-c33895cd814a.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.6042252,8.777135,1,1,A24X,TCGA-97-A4M7
131c0149-e810-4004-97e0-6c8a4aa9049d.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.845932,3.8694525,1,2,2287,TCGA-97-8179
143cbdd4-689e-4ba9-b0ad-069629dc7dfa.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.4195967,10.070468,0,1,A24X,TCGA-97-A4M6
145db6c5-f7ad-4e2f-88f1-d68bc457848a.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.6973975,8.493446,1,1,2287,TCGA-97-8172
146a69db-f304-4dd3-97e2-4d11b6512069.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.5557427,8.36014,2,2,A278,TCGA-44-3917
14797b04-c56a-4ceb-bd0f-a4e785e90f75.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.142721,7.3723483,1,2,1206,TCGA-05-4398
14aca23b-01ce-4532-8f2f-3b22b05a4757.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.8399959,6.3889194,1,1,2241,TCGA-55-8089
14e05372-1acb-4479-904b-ce8acef028eb.rna_seq.augmented_star_gene_counts.tsv,Tumor,5.0349617,5.9497037,1,2,2039,TCGA-78-7150
156a175b-b419-4089-8541-7318e3dee78a.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.2978144,4.557245,1,1,A262,TCGA-MP-A4TJ
160dd8d4-3262-4789-bd92-d5470bc7d41b.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.4220078,4.7955384,1,1,A24H,TCGA-62-A46S
