Tumor ID,expression_subtype
TCGA-05-4249,TRU
TCGA-05-4382,prox.-inflam
TCGA-05-4384,TRU
TCGA-05-4389,prox.-prolif.
TCGA-05-4390,prox.-prolif.
TCGA-05-4395,prox.-inflam
TCGA-05-4396,prox.-prolif.
TCGA-05-4398,prox.-inflam
TCGA-05-4402,TRU
TCGA-05-4403,TRU
TCGA-05-4405,TRU
TCGA-05-4410,TRU
TCGA-05-4415,prox.-prolif.
TCGA-05-4417,prox.-prolif.
TCGA-05-4418,prox.-prolif.
TCGA-05-4420,prox.-prolif.
TCGA-05-4422,prox.-prolif.
TCGA-05-4424,TRU
TCGA-05-4425,prox.-inflam
TCGA-05-4426,prox.-inflam
TCGA-05-4430,TRU
TCGA-05-4432,prox.-prolif.
TCGA-05-4433,TRU
TCGA-05-5420,prox.-inflam
TCGA-05-5423,TRU
TCGA-05-5428,prox.-inflam
TCGA-05-5429,prox.-prolif.
TCGA-05-5715,TRU
TCGA-35-3615,prox.-prolif.
TCGA-38-4626,TRU
TCGA-38-4627,prox.-inflam
TCGA-38-4628,prox.-inflam
TCGA-38-4631,prox.-prolif.
TCGA-38-4632,prox.-inflam
TCGA-38-6178,TRU
TCGA-44-2655,TRU
TCGA-44-2656,prox.-inflam
TCGA-44-2657,TRU
TCGA-44-2659,TRU
TCGA-44-2661,TRU
TCGA-44-2662,prox.-inflam
TCGA-44-2665,prox.-inflam
TCGA-44-2666,TRU
TCGA-44-3396,prox.-inflam
TCGA-44-3919,TRU
TCGA-44-4112,prox.-inflam
TCGA-44-5645,TRU
TCGA-44-6145,prox.-inflam
TCGA-44-6146,TRU
TCGA-44-6147,TRU
TCGA-44-6774,prox.-inflam
TCGA-44-6775,prox.-inflam
TCGA-44-6776,TRU
TCGA-44-6777,prox.-inflam
TCGA-44-6779,prox.-inflam
TCGA-44-7659,TRU
TCGA-44-7662,prox.-inflam
TCGA-44-7670,prox.-prolif.
TCGA-44-7671,prox.-prolif.
TCGA-44-7672,prox.-inflam
TCGA-49-4486,TRU
TCGA-49-4487,prox.-inflam
TCGA-49-4488,prox.-inflam
TCGA-49-4490,TRU
TCGA-49-4494,prox.-prolif.
TCGA-49-4501,TRU
TCGA-49-4505,TRU
TCGA-49-4506,prox.-prolif.
TCGA-49-4507,prox.-inflam
TCGA-49-4510,TRU
TCGA-49-4512,TRU
TCGA-49-4514,prox.-prolif.
TCGA-49-6742,prox.-prolif.
TCGA-49-6744,TRU
TCGA-49-6745,prox.-inflam
TCGA-49-6761,prox.-inflam
TCGA-49-6767,prox.-inflam
TCGA-50-5044,prox.-inflam
TCGA-50-5049,prox.-inflam
TCGA-50-5051,prox.-prolif.
TCGA-50-5055,TRU
TCGA-50-5068,prox.-inflam
TCGA-50-5072,prox.-prolif.
TCGA-50-5931,prox.-prolif.
TCGA-50-5932,prox.-prolif.
TCGA-50-5933,prox.-inflam
TCGA-50-5935,TRU
TCGA-50-5936,prox.-prolif.
TCGA-50-5939,prox.-inflam
TCGA-50-5941,prox.-inflam
TCGA-50-5942,TRU
TCGA-50-5944,TRU
TCGA-50-6593,prox.-inflam
TCGA-50-6595,prox.-inflam
TCGA-50-6597,TRU
TCGA-50-6673,TRU
TCGA-50-7109,prox.-prolif.
TCGA-53-7626,TRU
TCGA-53-7813,prox.-prolif.
TCGA-55-1592,TRU
TCGA-55-1594,prox.-prolif.
TCGA-55-1596,prox.-prolif.
TCGA-55-6543,TRU
TCGA-55-6642,prox.-prolif.
TCGA-55-6712,prox.-inflam
TCGA-55-6970,prox.-prolif.
TCGA-55-6971,prox.-prolif.
TCGA-55-6972,prox.-prolif.
TCGA-55-6978,prox.-inflam
TCGA-55-6979,prox.-inflam
TCGA-55-6980,TRU
TCGA-55-6981,prox.-inflam
TCGA-55-6982,prox.-inflam
TCGA-55-6983,prox.-prolif.
TCGA-55-6985,prox.-inflam
TCGA-55-6986,TRU
TCGA-55-7281,TRU
TCGA-55-7283,TRU
TCGA-55-7573,TRU
TCGA-55-7574,TRU
TCGA-55-7576,prox.-inflam
TCGA-55-7724,prox.-inflam
TCGA-55-7725,TRU
TCGA-55-7726,prox.-inflam
TCGA-55-7727,prox.-prolif.
TCGA-55-7728,TRU
TCGA-55-7815,prox.-prolif.
TCGA-55-7903,prox.-inflam
TCGA-55-7907,prox.-inflam
TCGA-55-7911,prox.-inflam
TCGA-55-7914,TRU
TCGA-64-1676,prox.-inflam
TCGA-64-1677,prox.-prolif.
TCGA-64-1678,prox.-prolif.
TCGA-64-1679,prox.-inflam
TCGA-64-1680,TRU
TCGA-64-1681,TRU
TCGA-64-5774,prox.-prolif.
TCGA-64-5775,prox.-inflam
TCGA-64-5778,prox.-inflam
TCGA-64-5781,prox.-inflam
TCGA-67-3771,prox.-prolif.
TCGA-67-3772,TRU
TCGA-67-3773,TRU
TCGA-67-3774,TRU
TCGA-67-6215,TRU
TCGA-67-6216,TRU
TCGA-67-6217,TRU
TCGA-69-7760,prox.-prolif.
TCGA-69-7761,prox.-inflam
TCGA-69-7763,TRU
TCGA-69-7764,TRU
TCGA-69-7765,prox.-inflam
TCGA-69-7980,TRU
TCGA-71-6725,TRU
TCGA-73-4658,prox.-inflam
TCGA-73-4659,prox.-prolif.
TCGA-73-4662,TRU
TCGA-73-4675,prox.-prolif.
TCGA-73-4676,prox.-inflam
TCGA-73-7498,TRU
TCGA-73-7499,prox.-inflam
TCGA-75-5122,prox.-inflam
TCGA-75-5126,prox.-inflam
TCGA-75-5146,TRU
TCGA-75-5147,prox.-inflam
TCGA-75-6203,TRU
TCGA-75-6205,prox.-inflam
TCGA-75-6207,prox.-inflam
TCGA-75-6211,prox.-prolif.
TCGA-75-6212,TRU
TCGA-75-6214,prox.-prolif.
TCGA-75-7025,TRU
TCGA-75-7027,prox.-prolif.
TCGA-75-7030,TRU
TCGA-75-7031,prox.-prolif.
TCGA-78-7143,TRU
TCGA-78-7145,prox.-inflam
TCGA-78-7147,TRU
TCGA-78-7148,prox.-prolif.
TCGA-78-7149,prox.-prolif.
TCGA-78-7150,prox.-prolif.
TCGA-78-7152,TRU
TCGA-78-7153,prox.-prolif.
TCGA-78-7154,prox.-prolif.
TCGA-78-7155,prox.-inflam
TCGA-78-7156,prox.-prolif.
TCGA-78-7158,TRU
TCGA-78-7159,prox.-prolif.
TCGA-78-7160,prox.-prolif.
TCGA-78-7161,prox.-prolif.
TCGA-78-7162,TRU
TCGA-78-7163,TRU
TCGA-78-7166,prox.-prolif.
TCGA-78-7167,prox.-prolif.
TCGA-78-7535,prox.-inflam
TCGA-78-7536,prox.-prolif.
TCGA-78-7537,TRU
TCGA-78-7539,TRU
TCGA-78-7540,TRU
TCGA-78-7542,prox.-inflam
TCGA-78-7633,prox.-prolif.
TCGA-80-5607,TRU
TCGA-80-5608,prox.-prolif.
TCGA-86-6562,prox.-inflam
TCGA-86-6851,prox.-inflam
TCGA-86-7713,prox.-prolif.
TCGA-86-7714,TRU
TCGA-91-6828,prox.-prolif.
TCGA-91-6829,prox.-inflam
TCGA-91-6835,prox.-inflam
TCGA-91-6840,prox.-prolif.
TCGA-91-6847,prox.-inflam
TCGA-91-6849,TRU
TCGA-91-7771,TRU
TCGA-93-7347,TRU
TCGA-93-7348,TRU
TCGA-95-7039,prox.-inflam
TCGA-95-7043,prox.-prolif.
TCGA-95-7567,prox.-inflam
TCGA-95-7947,prox.-inflam
TCGA-95-7948,prox.-inflam
TCGA-97-7546,TRU
TCGA-97-7552,TRU
TCGA-97-7553,TRU
TCGA-97-7554,prox.-inflam
TCGA-97-7937,prox.-inflam
TCGA-97-7938,TRU
TCGA-97-7941,TRU
TCGA-99-7458,TRU
