model,param,mean,eti94_lb,eti94_ub,r_hat
M1_Time_x_Group,Intercept,0.669,0.61,0.73,1.0
M1_Time_x_Group,Time,-0.0004,-0.026,0.024,1.0
M1_Time_x_Group,Group01,0.149,0.073,0.22,1.0
M1_Time_x_Group,Time:Group01,0.0535,0.022,0.085,1.0
M2_Hier_Subj_Exp,Intercept,0.801,0.48,1.1,1.0
M2_Hier_Subj_Exp,Time,-0.0006,-0.021,0.019,1.0
M2_Hier_Subj_Exp,Group01,-0.012,-0.086,0.061,1.0
M2_Hier_Subj_Exp,Time:Group01,0.0537,0.029,0.078,1.0
M2_Hier_Subj_Exp,1|SubID_sigma,0.2639,0.24,0.29,1.0
M2_Hier_Subj_Exp,Time|SubID_sigma,0.0951,0.085,0.11,1.0
M2_Hier_Subj_Exp,1|Exp_sigma,0.361,0.17,0.8,1.0
M3_Plus_covariates,Intercept,0.658,0.33,0.98,1.0
M3_Plus_covariates,Time,-0.0006,-0.021,0.019,1.0
M3_Plus_covariates,Group01,-0.005,-0.078,0.069,1.0
M3_Plus_covariates,Time:Group01,0.0538,0.029,0.079,1.0
M3_Plus_covariates,Trait_Anxiety_z,0.0216,-0.0093,0.053,1.0
M3_Plus_covariates,BMI_z,0.0143,-0.016,0.045,1.0
M3_Plus_covariates,Age_z,-0.0076,-0.038,0.023,1.0
M3_Plus_covariates,1|SubID_sigma,0.2607,0.24,0.29,1.0
M3_Plus_covariates,Time|SubID_sigma,0.0966,0.087,0.11,1.0
M3_Plus_covariates,1|Exp_sigma,0.362,0.17,0.8,1.0
