Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,physiotype,library
GO_Biological_Process_2021,regulation of B cell proliferation (GO:0030888),7/46,3.4629243628747584e-07,0.0003230908430562149,0,0,18.377441211638104,273.3824888472053,BLK;TNFRSF13B;FCRL3;MZB1;TNFRSF13C;CD22;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell receptor signaling pathway (GO:0050853),6/34,9.879356471904303e-07,0.0004608719794143357,0,0,21.83946980854197,301.98850704121634,BLK;CD79B;CD79A;IGLL5;CD19;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of B cell receptor signaling pathway (GO:0050855),5/23,2.7643280226436368e-06,0.0008597060150421711,0,0,28.17948717948718,360.6611683989916,BLK;FCRL3;CD19;PAX5;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of B cell activation (GO:0050864),5/28,7.75242440134287e-06,0.0018082529916132,0,0,22.0479375696767,259.44921421372527,IGLL5;CD19;FCRL3;MZB1;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,B cell proliferation (GO:0042100),5/32,1.5377155419858243e-05,0.0028693772013455,0,0,18.77777777777778,208.10711759419505,CD79A;CR2;CD19;CD180;MS4A1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),6/60,2.963485145494461e-05,0.0046082194012438,0,0,11.309278350515465,117.91686334351428,CEACAM6;CEACAM5;PLXNB3;VSTM2L;NECTIN4;NECTIN1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of dendritic cell apoptotic process (GO:2000668),3/11,0.00015320271943439296,0.0204197338903269,0,0,37.6751269035533,330.92884130781977,BLK;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of B cell proliferation (GO:0030889),3/12,0.00020276702349047895,0.0236477041145771,0,0,33.48730964467005,284.75776049641166,BLK;TNFRSF13B;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,regulation of antigen receptor-mediated signaling pathway (GO:0050854),3/13,0.00026165809515097364,0.0271252225306509,0,0,30.13705583756345,248.5846578261998,BLK;CD19;PAX5,1,GO_Biological_Process_2021
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),8/185,0.0005616536616338587,0.0505617675345049,0,0,4.619350282485875,34.574105340102705,BLK;CD79B;CD79A;IGLL5;CD19;MS4A1;CARD11;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of lymphocyte proliferation (GO:0050672),4/39,0.0006068640222899578,0.0505617675345049,0,0,11.524781341107872,85.36642728574833,BLK;TNFRSF13B;FOXP3;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,cellular response to tumor necrosis factor (GO:0071356),8/194,0.0007666843378305588,0.0505617675345049,0,0,4.393817204301075,31.51876385529024,CCL22;TNFRSF13B;LTA;CD27;TNFRSF13C;CCL19;LTB;TNFRSF21,1,GO_Biological_Process_2021
GO_Biological_Process_2021,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),4/42,0.0008067730463282587,0.0505617675345049,0,0,10.613319011815252,75.59302673955138,CEACAM6;CEACAM5;NECTIN4;NECTIN1,1,GO_Biological_Process_2021
GO_Biological_Process_2021,positive regulation of JNK cascade (GO:0046330),5/73,0.0008234685243405408,0.0505617675345049,0,0,7.440422322775264,52.84176944790253,UNC5CL;SERPINF2;CD27;CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,negative regulation of immunoglobulin production (GO:0002638),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,FCRL3;CD22,1,GO_Biological_Process_2021
GO_Biological_Process_2021,establishment of T cell polarity (GO:0001768),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,response to prostaglandin (GO:0034694),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,CCR7;CCL19,1,GO_Biological_Process_2021
GO_Biological_Process_2021,mature conventional dendritic cell differentiation (GO:0097029),2/5,0.0009754681839454336,0.0505617675345049,0,0,66.65656565656566,462.1028413784856,CCR7;CCL19,1,GO_Biological_Process_2021
