physiotype,gene,effect_z,mean_log1p
1,LTF,0.390647571368924,4.005918115465482
1,SPDEF,0.3717193900270527,3.991710664044828
1,IGHA1,0.360571352011134,8.597266699495144
1,FDCSP,0.35598144825625794,2.7234308377810916
1,IGHA2,0.354945328465439,6.160993367598121
1,IGLV1-40,0.3389108975888899,6.515891095023375
1,IGHG2,0.33879031663159426,6.472161228773074
1,CCL19,0.33293929970268643,4.25432326811698
1,BPIFA1,0.3325139419671072,4.422783537658315
1,IGHV4-34,0.33159973671372467,5.474243063615088
1,MUC5B,0.33098682678036134,3.5048699316113496
1,IGHJ3,0.32771720160340967,4.494411250676553
1,IGHG4,0.3262046216488624,5.509084809942065
1,IGKJ1,0.3241500183831646,4.919309435204488
1,IGHV2-26,0.3239525731918763,4.102905393088555
1,IGHV1-46,0.3220706138038919,4.946615437617885
1,IGHJ4,0.31634210707524413,4.220066829247841
1,IGKV3D-20,0.3156898880907397,4.068374586806022
1,BPIFB1,0.3156832844429631,4.132657245881943
1,IGKV1D-39,0.315036647656252,3.354703042260599
1,IGHJ2,0.3147937464799902,3.749524444200434
1,IGHM,0.3132607770081066,6.838042921844097
1,IGKC,0.31282589273642764,10.026814041388398
1,IGHV5-51,0.3113563927876097,6.219443558713178
1,ST6GALNAC1,0.3110267609914932,3.9584419723207307
1,CXCL13,0.31099208858853905,3.869520170054347
1,IGLV1-47,0.30984893063791114,5.74525241272056
1,IGKV3D-15,0.3096160932349537,3.335412147309726
1,IGLV3-9,0.3079900099231243,4.182989584331996
1,IGHJ3P,0.30794420495483776,3.5032552407907374
1,PPP1R14D,0.3077522769678573,3.1003157781811304
1,IGHG3,0.30700403692194844,6.398676974389183
1,IGHV4-39,0.30679380634340925,5.976384850645822
1,CEACAM6,0.3059038801079348,7.238078193107848
1,IGHV4-59,0.3051914495142012,5.490647898502251
1,IGHV3-11,0.3051429919038967,5.313848312660986
1,IGHV3-15,0.3050143108852152,5.635415379843971
1,IGLV3-21,0.30486167706050316,6.213230397939665
1,IGKV2D-29,0.3039918987504735,3.8287110696767424
1,IGKJ4,0.30205095240750196,3.532352739380035
1,IGKV1OR2-108,0.3020255606297014,3.1976340929379337
1,IGKV1-39,0.3017772185523639,3.227610965842894
1,IGKJ5,0.30127917488275563,3.4663192269642793
1,IGLV4-69,0.3011871519206786,5.046164203901612
1,IGKV3-15,0.30096798503914135,5.971928744547296
1,CXCL14,0.29860586829977326,4.3242661873435155
1,IGHJ5,0.2984118446761674,3.2438907497710994
1,IGHV3-30,0.29746179364385067,5.489854151356729
1,IGKV1-17,0.2969952014640192,4.944706637745832
1,IGKV1-9,0.29660643681991,5.304538199772889
2,KRT4,0.1679386436374872,1.7520255308567791
2,HLA-DRB6,0.16256845597440042,4.7094804904930525
2,RN7SL1,0.16138713304698707,6.792284100255834
2,MIR3609,0.15975079337379303,0.8682184714542172
2,S100A8,0.15928413523145946,4.171786093142679
2,RNU5A-1,0.1552180262904854,0.754769396975471
2,SNORA49,0.15495287134572114,0.6279959916537204
2,RN7SL3,0.15343026400081858,2.2054337266349133
2,RNU4-2,0.1505089662632301,1.565443004521103
2,RNU5B-1,0.14594629475123122,0.6169068553050787
2,PEG10,0.14485101463737038,3.2986205584044215
2,CXCL5,0.14434055310479574,2.313962685792242
2,RNU4-1,0.14152970128051623,1.1212619981260243
2,SNORA23,0.14054220169024076,0.8893537231231632
2,SLC6A4,0.14043603925827924,0.9931197433339973
2,SCARNA5,0.14040758683738272,1.0362955261097284
2,SNORD13,0.13635485933133534,0.6025346783387763
2,SCARNA7,0.13580660467689126,1.0565003624897733
2,HLA-DQA2,0.13460918608847322,4.396071910257752
2,SNORA12,0.13456454869134152,1.1155824840075086
2,RNY1,0.12981011332218526,0.8112972197607028
2,MCEMP1,0.12678333720665483,2.3411290728558605
2,SNORA54,0.11892035728672741,0.7258207325181096
2,NTS,0.11399526087926888,1.1720123329852568
2,SNORD3A,0.10864463389812956,1.7493057206269342
2,HSD17B6,0.10560692146883166,3.1588218307638694
2,TNNC1,0.10408450048689366,2.8843485483645077
2,SNORA73B,0.09363266456422856,2.7258228673443057
2,SCARNA6,0.09306995950605729,1.242307817590901
2,LRRK2-DT,0.08847622830698636,2.026542159837567
2,SNORD17,0.08795240028518016,1.8377439406840876
2,ANKRD1,0.08753984122923608,1.6860271399106987
2,FABP4,0.08250659599685282,2.306316038923064
2,UPK1B,0.07823187152876815,0.7198025938852382
2,UPK3B,0.07574744069591315,2.1244109005753766
2,CST6,0.06613815272441928,3.6199762925358803
2,MAGEA6,0.053559585829996564,0.8837357299196571
2,MAGEA3,0.05331704032559513,1.0008195442886016
2,CLIC5,0.05221916815041147,2.3204749093941803
2,CSAG1,0.05137907051911585,0.8026033975051515
2,HBB,0.04886721145719392,4.131215078996411
2,MAGEA12,0.04840393834386494,0.6966704235488679
2,MMP28,0.048275969848102895,2.8553532969246707
2,TFPI2,0.04616478095543065,3.499712579573998
2,SUSD2,0.04425867056114363,4.055889985043496
2,SCARNA21,0.04379480388769832,1.2846520336032632
2,TMEM100,0.04285529847176527,2.098876697048286
2,LGI3,0.04120779991760175,1.203859765922423
2,AD000090.1,0.04093979058292914,2.4786982648778713
2,LRRK2,0.03809975225820302,2.8234778526428714
3,SLC6A4,0.5732034125006304,1.560627244020565
3,ANKRD1,0.4401008407437238,2.1854181956985412
3,LGI3,0.32158794058356216,1.5836991778136429
3,UPK3B,0.31174150958232716,2.491454459349036
3,CACNG4,0.2485820039967429,2.2823802992237967
3,FAM107A,0.22152479649844853,2.2546181330026784
3,FABP4,0.22106313821166665,2.5270771486480883
3,MCEMP1,0.20377209843166338,2.4510593633192017
3,CLIC5,0.2029834737698913,2.516630323824682
3,SCARNA7,0.1870502709978347,1.1261543576463904
3,HBA2,0.1834591426539329,3.230418571270092
3,MS4A15,0.18237948446562624,2.471624316509954
3,HBB,0.17741151971836785,4.345491485554071
3,RETN,0.17523294894020974,2.285527819773627
3,TNNC1,0.17474029180389195,2.978724845800398
3,SNORD17,0.1710886214183572,1.9524849628374092
3,MTCO1P40,0.15676614944489084,2.218819868160391
3,SNORA12,0.15191656171214105,1.1376694714122844
3,H19,0.14342602550243544,2.51227549574609
3,XAGE2,0.1423480603643221,1.4443872416984183
3,MTND1P23,0.13627799713485092,2.1887395733243147
3,AC008268.1,0.13376157985381826,1.6173816057074402
3,KRT4,0.13069168009111476,1.6998950622939761
3,CLDN6,0.12294344354731786,1.537252324217442
3,PRAME,0.11898330761832002,1.7005613791508212
3,SNORA49,0.11879573860659197,0.5818069996079522
3,NR0B1,0.11187668420512621,0.7496484559345885
3,MIR3609,0.11158235278029999,0.7984410933217787
3,RNY1,0.105292547770198,0.7726712825649659
3,RN7SL3,0.10297563236136176,2.132451070180676
3,FCN3,0.09710471750602795,2.623291763625192
3,SNORD13,0.09421808629407945,0.5485625727950071
3,TMEM100,0.09217630971685122,2.1669619316279523
3,SCARNA5,0.09189812697110131,0.9612669097331249
3,RNU5B-1,0.08917161829998835,0.5316895168371917
3,SNORA54,0.08866031369691828,0.685083602975808
3,RNU4-1,0.08793343549872848,1.0335822398804275
3,MAGEA6,0.08654339111230272,0.9348387323105878
3,AGER,0.08602413643600147,4.202678330861306
3,MAGEA12,0.08312345678675585,0.7432776597357855
3,SNORA23,0.08213335563167981,0.8093468001344438
3,WIF1,0.07940335792000096,2.6611618612643797
3,SCARNA6,0.07437387268675219,1.2187291892276735
3,MAGEA3,0.07410593917971095,1.0351888794633475
3,HSD17B6,0.0723721564086886,3.116074263709124
3,MARCO,0.06711732395998951,4.139566606472849
3,UCHL1,0.06702644966728938,3.315147311923032
3,PEG10,0.061430982098356866,3.171937679045836
3,LHFPL3-AS2,0.0603084804193616,1.691457325394139
3,RNU5A-1,0.05734465597134804,0.6107181925873945
